"","AOI","Light","Temp","Time","Cell","Species","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample1","unique_sample","Species_sample"
"436",13,"High",44,15,"C3","Eucalyptus pauciflora",0.679,0.808,0.496,0.840346534653465,5,61,"Eucalyptus pauciflora_61"
"437",13,"High",42,15,"C3","Eucalyptus pauciflora",0.803,0.815,0.462,0.985276073619632,5,61,"Eucalyptus pauciflora_61"
"438",13,"High",30,60,"C3","Eucalyptus pauciflora",0.794,0.824,0.668,0.963592233009709,5,61,"Eucalyptus pauciflora_61"
"439",13,"High",44,60,"C3","Eucalyptus pauciflora",0.447,0.874,0,0.511441647597254,5,61,"Eucalyptus pauciflora_61"
"440",13,"High",44,30,"C3","Eucalyptus pauciflora",0.62,0.838,0.487,0.739856801909308,5,61,"Eucalyptus pauciflora_61"
"441",14,"Moderate",48,15,"C4","Vicia faba",0.246,0.833,0.238,0.2953181272509,6,67,"Vicia faba_67"
"442",14,"Low",40,60,"C4","Vicia faba",0.618,0.825,0.437,0.749090909090909,6,66,"Vicia faba_66"
"443",14,"High",30,15,"C4","Vicia faba",0.771,0.753,0.696,1,6,65,"Vicia faba_65"
"444",14,"Moderate",42,15,"C4","Vicia faba",0.415,0.827,0.301,0.501813784764208,6,67,"Vicia faba_67"
"445",14,"Moderate",44,15,"C4","Vicia faba",0.154,0.835,0.247,0.184431137724551,6,67,"Vicia faba_67"
